Trade_ID,Trade_Date,Customer_ID,Counterparty_ID,Product_Type,Trade_Amount,Currency,Trade_Status
TRD_00061,2026-02-23,CUST_0762,CPTY_145,FX Spot,2297086.09,SGD,Cancelled
TRD_00062,2026-03-22,CUST_0292,CPTY_143,FX Spot,36908.53,HKD,Settled
TRD_00063,2026-01-31,CUST_0159,CPTY_132,Equity,1422447.75,CAD,Settled
TRD_00064,2026-06-18,CUST_0765,CPTY_124,Equity,860373.71,HKD,Cancelled
TRD_00065,2026-06-15,CUST_0194,CPTY_143,Crypto ETF,2320573.45,JPY,Settled
TRD_00066,2026-03-16,CUST_0815,CPTY_135,Equity,101408.83,CAD,Cancelled
TRD_00067,2026-05-16,CUST_0791,CPTY_146,Commodity Options,123531.56,SGD,Cancelled
TRD_00068,2026-04-15,CUST_0124,CPTY_136,Commodity Options,2274985.09,EUR,Cancelled
TRD_00069,2026-03-15,CUST_0940,CPTY_100,FX Spot,1996817.52,HKD,Cancelled
TRD_00070,2026-04-11,CUST_0228,CPTY_135,Commodity Options,2065808.61,HKD,Settled
TRD_00071,2026-03-24,CUST_0212,CPTY_106,Fixed Income,581914.35,GBP,Settled
TRD_00072,2026-05-20,CUST_0893,CPTY_129,Equity,584901.33,USD,Settled
TRD_00073,2026-02-05,CUST_0713,CPTY_144,Fixed Income,1273468.66,EUR,Settled
TRD_00074,2026-06-16,CUST_0272,CPTY_119,Crypto ETF,565647.29,GBP,Settled
TRD_00075,2026-04-08,CUST_0015,CPTY_120,Equity,333011.0,HKD,Cancelled
TRD_00076,2026-06-29,CUST_0430,CPTY_107,Commodity Options,1798148.16,JPY,Settled
TRD_00077,2026-06-15,CUST_0819,CPTY_112,Equity,1200096.27,SGD,Settled
TRD_00078,2026-02-19,CUST_0127,CPTY_144,Fixed Income,908084.12,USD,Settled
TRD_00079,2026-02-03,CUST_0012,CPTY_138,Crypto ETF,2016056.55,GBP,Settled
TRD_00080,2026-03-25,,CPTY_108,Fixed Income,-150.0,EUR,Settled
TRD_00081,2026-02-27,CUST_0176,CPTY_102,Crypto ETF,506865.55,GBP,Cancelled
TRD_00082,2026-06-18,CUST_0066,CPTY_119,Crypto ETF,1185170.15,JPY,Pending
TRD_00083,2026-01-18,CUST_0618,CPTY_110,FX Spot,1275229.6,EUR,Settled
TRD_00084,2026-04-11,CUST_0626,CPTY_123,Commodity Options,626062.2,GBP,Settled
TRD_00085,2026-03-02,CUST_0080,CPTY_104,Fixed Income,2443927.35,SGD,Settled
TRD_00086,2026-02-01,CUST_0593,CPTY_121,Fixed Income,53463.9,CAD,Cancelled
TRD_00087,2026-02-24,CUST_0445,CPTY_115,FX Spot,835372.03,GBP,Settled
TRD_00088,2026-05-27,CUST_0125,CPTY_128,Commodity Options,2124326.6,CAD,Settled
TRD_00089,2026-04-13,CUST_0501,CPTY_144,FX Spot,2006932.42,EUR,Settled
TRD_00090,2026-04-13,CUST_0765,CPTY_142,Crypto ETF,1022757.7,CAD,Pending
TRD_00091,2026-04-06,CUST_0125,CPTY_137,Fixed Income,584570.31,JPY,Settled
TRD_00092,2026-02-20,CUST_0802,CPTY_104,Equity,572816.51,GBP,Pending
TRD_00093,2026-04-12,CUST_0570,CPTY_118,FX Spot,2174675.73,JPY,Settled
TRD_00094,2026-04-07,CUST_0673,CPTY_107,Commodity Options,965526.77,USD,Settled
TRD_00095,2026-06-30,CUST_0939,CPTY_131,Equity,222437.0,SGD,Settled
TRD_00096,2026-01-18,CUST_0747,CPTY_113,Fixed Income,189987.56,SGD,Settled
TRD_00097,2026-03-04,CUST_0889,CPTY_122,Crypto ETF,1134882.45,CAD,Settled
TRD_00098,2026-01-08,CUST_0471,CPTY_132,Commodity Options,69265.18,EUR,Pending
TRD_00099,2026-06-23,CUST_0549,CPTY_105,Equity,1510876.42,USD,Cancelled
TRD_00100,2026-01-19,CUST_0872,CPTY_129,Fixed Income,1362372.32,JPY,Settled
TRD_00101,2026-02-11,CUST_0867,CPTY_140,Commodity Options,705963.04,GBP,Settled
TRD_00102,2026-06-19,CUST_0049,CPTY_138,Commodity Options,1124592.97,EUR,Settled
TRD_00103,2026-03-30,CUST_0289,CPTY_135,FX Spot,1878737.93,CAD,Settled
TRD_00104,2026-06-28,CUST_0068,CPTY_125,Fixed Income,2258726.61,SGD,Pending
TRD_00105,2026-06-07,CUST_0425,CPTY_127,Fixed Income,2301020.2,JPY,Cancelled
TRD_00106,2026-03-18,CUST_0348,CPTY_139,Crypto ETF,1706829.06,GBP,Cancelled
TRD_00107,2026-05-19,CUST_0870,CPTY_132,Commodity Options,2496948.71,CAD,Settled
TRD_00108,2026-04-25,CUST_0455,CPTY_117,Commodity Options,885334.02,EUR,Settled
TRD_00109,2026-03-20,CUST_0373,CPTY_118,Fixed Income,2368061.93,SGD,Settled
TRD_00110,2026-06-23,CUST_0113,CPTY_143,FX Spot,1730590.84,USD,Settled
TRD_00111,2026-03-23,CUST_0309,CPTY_130,Equity,2029826.93,EUR,Settled
TRD_00112,2026-02-10,CUST_0140,CPTY_101,Fixed Income,1226509.08,SGD,Cancelled
TRD_00113,2026-02-09,CUST_0643,CPTY_111,FX Spot,460823.96,HKD,Pending
TRD_00114,2026-01-14,CUST_0772,CPTY_121,Equity,1739589.22,CAD,Pending
TRD_00115,2026-02-27,CUST_0567,CPTY_111,Crypto ETF,668146.88,SGD,Cancelled
TRD_00116,2026-04-30,CUST_0307,CPTY_140,Equity,1384751.49,HKD,Cancelled
TRD_00117,2026-01-22,CUST_0294,CPTY_145,Fixed Income,1104768.85,EUR,Cancelled
TRD_00118,2026-01-19,CUST_0137,CPTY_107,Commodity Options,123812.31,GBP,Settled
TRD_00119,2026-06-10,CUST_0044,CPTY_101,Equity,735534.13,HKD,Cancelled
TRD_00120,2026-06-18,CUST_0409,CPTY_119,FX Spot,-150.0,ZWD,Settled
TRD_00121,2026-02-24,CUST_0164,CPTY_140,Commodity Options,75600.25,HKD,Settled
TRD_00122,2026-04-06,CUST_0733,CPTY_120,Commodity Options,117628.24,EUR,Cancelled
TRD_00123,2026-04-12,CUST_0536,CPTY_125,Crypto ETF,229603.05,JPY,Settled
TRD_00124,2026-01-31,CUST_0049,CPTY_135,FX Spot,2177833.26,USD,Settled
TRD_00125,2026-05-08,CUST_0798,CPTY_121,Fixed Income,2347989.0,USD,Cancelled
TRD_00126,2026-04-29,CUST_0121,CPTY_106,Crypto ETF,1615106.32,USD,Settled
TRD_00127,2026-05-11,CUST_0155,CPTY_107,Fixed Income,2110105.66,SGD,Pending
TRD_00128,2026-05-21,CUST_0434,CPTY_144,FX Spot,1182064.93,EUR,Cancelled
TRD_00129,2026-06-08,CUST_0362,CPTY_108,Equity,2493171.54,HKD,Settled
TRD_00130,2026-01-29,CUST_0925,CPTY_107,Commodity Options,1044290.05,GBP,Cancelled
TRD_00131,2026-01-22,CUST_0086,CPTY_135,FX Spot,1707176.04,GBP,Settled
TRD_00132,2026-04-09,CUST_0749,CPTY_136,Fixed Income,2458346.68,JPY,Cancelled
TRD_00133,2026-03-04,CUST_0154,CPTY_100,FX Spot,1341928.75,GBP,Settled
TRD_00134,2026-01-14,CUST_0862,CPTY_121,Equity,1988348.19,CAD,Settled
TRD_00135,2026-03-10,CUST_0363,CPTY_105,Fixed Income,2222054.68,EUR,Cancelled
TRD_00136,2026-03-04,CUST_0820,CPTY_126,Crypto ETF,1665841.75,SGD,Settled
TRD_00137,2026-03-22,CUST_0256,CPTY_115,FX Spot,1769778.62,HKD,Cancelled
TRD_00138,2026-03-10,CUST_0735,CPTY_123,Equity,1509267.17,EUR,Settled
TRD_00139,2026-02-16,CUST_0729,CPTY_122,Equity,2378134.3,CAD,Settled
TRD_00140,2026-04-04,CUST_0182,CPTY_102,Fixed Income,2399230.62,EUR,Pending
TRD_00141,2026-03-24,CUST_0896,CPTY_135,Equity,389815.49,SGD,Settled
TRD_00142,2026-06-17,CUST_0725,CPTY_144,Equity,660844.93,SGD,Settled
TRD_00143,2026-03-31,CUST_0288,CPTY_122,Commodity Options,478060.4,SGD,Cancelled
TRD_00144,2026-01-03,CUST_0748,CPTY_133,Crypto ETF,805723.94,JPY,Settled
TRD_00145,2026-02-26,CUST_0817,CPTY_118,Crypto ETF,2108022.0,CAD,Settled
TRD_00146,2026-06-06,CUST_0435,CPTY_131,Crypto ETF,1831448.45,CAD,Cancelled
TRD_00147,2026-02-12,CUST_0739,CPTY_150,FX Spot,1877833.89,SGD,Settled
TRD_00148,2026-03-25,CUST_0276,CPTY_100,Equity,2229907.83,HKD,Settled
TRD_00149,2026-04-26,CUST_0572,CPTY_144,FX Spot,2298562.24,EUR,Pending
TRD_00150,2026-01-18,CUST_0520,CPTY_110,FX Spot,269358.05,HKD,Cancelled
TRD_00151,2026-05-25,CUST_0129,CPTY_142,Fixed Income,1217795.19,GBP,Cancelled
TRD_00152,2026-06-12,CUST_0389,CPTY_124,FX Spot,1577801.98,SGD,Settled
TRD_00153,2026-01-09,CUST_0180,CPTY_110,Fixed Income,961769.93,CAD,Pending
TRD_00154,2026-01-14,CUST_0912,CPTY_124,Commodity Options,8103.35,GBP,Cancelled
TRD_00155,2026-04-21,CUST_0600,CPTY_119,FX Spot,695010.38,JPY,Settled
TRD_00156,2026-02-17,CUST_0027,CPTY_128,Crypto ETF,981649.72,GBP,Cancelled
TRD_00157,2026-06-04,CUST_0076,CPTY_126,Equity,674957.97,SGD,Cancelled
TRD_00158,2026-01-23,CUST_0494,CPTY_114,Commodity Options,754428.61,SGD,Pending
TRD_00159,2026-03-15,CUST_0106,CPTY_114,Commodity Options,796577.99,JPY,Cancelled
TRD_00160,2026-04-18,,CPTY_103,Crypto ETF,-150.0,SGD,Pending
TRD_00161,2026-04-19,CUST_0144,CPTY_120,Fixed Income,155293.39,SGD,Settled
TRD_00162,2026-02-23,CUST_0797,CPTY_112,Crypto ETF,1864546.76,JPY,Settled
TRD_00163,2026-01-08,CUST_0128,CPTY_136,Equity,1221514.83,GBP,Settled
TRD_00164,2026-03-06,CUST_0917,CPTY_145,Fixed Income,1776101.29,JPY,Settled
TRD_00165,2026-01-27,CUST_0098,CPTY_119,Equity,2362454.63,GBP,Cancelled
TRD_00166,2026-01-25,CUST_0720,CPTY_118,Crypto ETF,742390.81,HKD,Pending
TRD_00167,2026-03-31,CUST_0549,CPTY_132,FX Spot,251157.39,JPY,Pending
TRD_00168,2026-02-28,CUST_0447,CPTY_144,Fixed Income,827913.11,EUR,Cancelled
TRD_00169,2026-01-06,CUST_0669,CPTY_104,Commodity Options,1936468.65,HKD,Settled
TRD_00170,2026-02-05,CUST_0478,CPTY_119,Fixed Income,2443285.32,USD,Settled
TRD_00171,2026-04-26,CUST_0851,CPTY_107,FX Spot,1807546.93,JPY,Pending
TRD_00172,2026-02-25,CUST_0946,CPTY_111,Equity,742951.92,CAD,Settled
TRD_00173,2026-03-29,CUST_0457,CPTY_141,FX Spot,2395819.06,CAD,Settled
TRD_00174,2026-04-11,CUST_0442,CPTY_118,FX Spot,2402725.58,GBP,Settled
TRD_00175,2026-03-18,CUST_0787,CPTY_124,FX Spot,941735.46,SGD,Pending
TRD_00176,2026-06-02,CUST_0744,CPTY_122,FX Spot,1290041.79,HKD,Settled
TRD_00177,2026-05-27,CUST_0777,CPTY_138,Equity,1617747.69,JPY,Cancelled
TRD_00178,2026-03-29,CUST_0102,CPTY_122,Crypto ETF,695860.17,CAD,Settled
TRD_00179,2026-06-11,CUST_0290,CPTY_143,Fixed Income,2493787.21,SGD,Settled
TRD_00180,2026-02-20,CUST_0516,CPTY_132,Crypto ETF,1387756.9,ZWD,Settled
TRD_00181,2026-04-12,CUST_0202,CPTY_109,Fixed Income,184270.35,USD,Cancelled
TRD_00182,2026-02-13,CUST_0899,CPTY_150,Fixed Income,502538.96,GBP,Cancelled
TRD_00183,2026-05-18,CUST_0873,CPTY_147,Commodity Options,37457.26,SGD,Pending
TRD_00184,2026-06-06,CUST_0078,CPTY_122,Fixed Income,487553.06,SGD,Pending
TRD_00185,2026-05-28,CUST_0510,CPTY_100,Crypto ETF,2076886.85,CAD,Settled
TRD_00186,2026-04-15,CUST_0579,CPTY_139,Crypto ETF,590690.04,USD,Pending
TRD_00187,2026-02-20,CUST_0896,CPTY_143,Equity,2100163.16,CAD,Settled
TRD_00188,2026-06-01,CUST_0302,CPTY_139,Fixed Income,1229303.39,GBP,Pending
TRD_00189,2026-04-23,CUST_0437,CPTY_105,FX Spot,694603.08,JPY,Settled
TRD_00190,2026-01-28,CUST_0825,CPTY_100,Fixed Income,2220537.13,SGD,Settled
TRD_00191,2026-01-31,CUST_0276,CPTY_116,Commodity Options,1379530.38,CAD,Settled
TRD_00192,2026-04-29,CUST_0295,CPTY_117,Commodity Options,733473.93,JPY,Settled
TRD_00193,2026-06-28,CUST_0522,CPTY_149,FX Spot,317170.06,SGD,Cancelled
TRD_00194,2026-06-15,CUST_0295,CPTY_123,Equity,1050971.54,HKD,Settled
TRD_00195,2026-04-16,CUST_0354,CPTY_144,Fixed Income,377033.6,JPY,Pending
TRD_00196,2026-03-28,CUST_0747,CPTY_119,FX Spot,1646494.7,SGD,Cancelled
TRD_00197,2026-06-30,CUST_0936,CPTY_127,Crypto ETF,957217.31,EUR,Settled
TRD_00198,2026-05-07,CUST_0609,CPTY_102,Crypto ETF,1872685.1,CAD,Cancelled
TRD_00199,2026-02-05,CUST_0058,CPTY_105,Crypto ETF,1095021.91,HKD,Pending
TRD_00200,2026-03-28,CUST_0627,CPTY_114,Crypto ETF,-150.0,SGD,Cancelled
TRD_00201,2026-06-27,CUST_0645,CPTY_149,FX Spot,633479.21,HKD,Settled
TRD_00202,2026-01-05,CUST_0042,CPTY_145,Fixed Income,1495180.96,HKD,Cancelled
TRD_00203,2026-06-07,CUST_0793,CPTY_116,Equity,1558527.44,EUR,Pending
TRD_00204,2026-05-27,CUST_0239,CPTY_149,Fixed Income,2101202.61,EUR,Pending
TRD_00205,2026-06-11,CUST_0507,CPTY_109,Commodity Options,1984078.62,CAD,Cancelled
TRD_00206,2026-03-06,CUST_0036,CPTY_149,Equity,560057.22,USD,Settled
TRD_00207,2026-03-25,CUST_0419,CPTY_122,FX Spot,2441788.59,GBP,Pending
TRD_00208,2026-03-07,CUST_0882,CPTY_140,Fixed Income,1723236.46,USD,Settled
TRD_00209,2026-06-28,CUST_0329,CPTY_112,Crypto ETF,284243.12,JPY,Pending
TRD_00210,2026-06-11,CUST_0308,CPTY_142,Commodity Options,1540454.48,EUR,Pending
TRD_00211,2026-01-31,CUST_0059,CPTY_132,Fixed Income,1175241.94,CAD,Settled
TRD_00212,2026-01-25,CUST_0097,CPTY_141,Commodity Options,1809705.07,SGD,Settled
TRD_00213,2026-02-28,CUST_0043,CPTY_132,FX Spot,2417181.1,GBP,Settled
TRD_00214,2026-01-11,CUST_0168,CPTY_131,Fixed Income,1919362.26,JPY,Cancelled
TRD_00215,2026-02-26,CUST_0385,CPTY_127,FX Spot,1904870.35,SGD,Settled
TRD_00216,2026-03-11,CUST_0390,CPTY_118,Commodity Options,1935536.49,HKD,Settled
TRD_00217,2026-06-30,CUST_0884,CPTY_132,Fixed Income,955461.89,EUR,Settled
TRD_00218,2026-04-14,CUST_0916,CPTY_101,Commodity Options,321045.7,EUR,Settled
TRD_00219,2026-02-07,CUST_0497,CPTY_101,Equity,1065060.83,SGD,Settled
TRD_00220,2026-02-23,CUST_0339,CPTY_117,Equity,12557.34,HKD,Settled
TRD_00221,2026-04-02,CUST_0325,CPTY_122,Crypto ETF,2329923.09,EUR,Pending
TRD_00222,2026-04-26,CUST_0078,CPTY_101,Crypto ETF,1690529.93,GBP,Settled
TRD_00223,2026-03-03,CUST_0301,CPTY_135,Fixed Income,835374.32,GBP,Pending
TRD_00224,2026-01-10,CUST_0899,CPTY_135,Fixed Income,2130782.0,HKD,Pending
TRD_00225,2026-03-24,CUST_0889,CPTY_114,Crypto ETF,1657009.33,CAD,Settled
TRD_00226,2026-02-14,CUST_0412,CPTY_132,Fixed Income,1348311.34,JPY,Settled
TRD_00227,2026-03-02,CUST_0506,CPTY_150,Fixed Income,1156515.41,CAD,Pending
TRD_00228,2026-02-14,CUST_0862,CPTY_150,Commodity Options,2438708.93,USD,Pending
TRD_00229,2026-01-17,CUST_0253,CPTY_150,Equity,2245640.08,SGD,Settled
TRD_00230,2026-02-19,CUST_0627,CPTY_113,Fixed Income,1250716.14,CAD,Settled
TRD_00231,2026-03-23,CUST_0188,CPTY_105,Fixed Income,729180.73,EUR,Settled
TRD_00232,2026-02-05,CUST_0137,CPTY_101,Crypto ETF,2440536.11,HKD,Cancelled
TRD_00233,2026-01-03,CUST_0419,CPTY_142,Equity,1210729.67,HKD,Settled
TRD_00234,2026-02-15,CUST_0948,CPTY_101,Commodity Options,495624.55,CAD,Pending
TRD_00235,2026-01-05,CUST_0530,CPTY_105,Equity,1747788.48,CAD,Cancelled
TRD_00236,2026-04-10,CUST_0365,CPTY_126,Fixed Income,2437289.09,EUR,Settled
TRD_00237,2026-01-28,CUST_0406,CPTY_149,Commodity Options,2327937.81,CAD,Settled
TRD_00238,2026-05-09,CUST_0242,CPTY_106,Fixed Income,166042.32,EUR,Settled
TRD_00239,2026-04-02,CUST_0191,CPTY_116,Equity,1902768.28,USD,Cancelled
TRD_00240,2026-01-02,,CPTY_107,FX Spot,-150.0,ZWD,Settled
TRD_00241,2026-02-11,CUST_0908,CPTY_137,Equity,1827506.68,SGD,Settled
TRD_00242,2026-04-12,CUST_0085,CPTY_131,Fixed Income,520774.85,GBP,Settled
TRD_00243,2026-04-10,CUST_0247,CPTY_143,Commodity Options,1206343.56,HKD,Pending
TRD_00244,2026-04-12,CUST_0067,CPTY_101,Equity,688527.95,SGD,Pending
TRD_00245,2026-04-03,CUST_0934,CPTY_107,Commodity Options,1639938.89,USD,Settled
TRD_00246,2026-05-10,CUST_0535,CPTY_105,Equity,1796374.44,USD,Cancelled
TRD_00247,2026-01-09,CUST_0916,CPTY_106,FX Spot,682821.45,SGD,Pending
TRD_00248,2026-04-14,CUST_0339,CPTY_140,FX Spot,2020169.51,EUR,Settled
TRD_00249,2026-05-18,CUST_0835,CPTY_145,Crypto ETF,2072468.51,USD,Pending
TRD_00250,2026-02-23,CUST_0886,CPTY_147,Equity,22638.43,JPY,Settled
TRD_00251,2026-03-16,CUST_0103,CPTY_131,Crypto ETF,553417.46,HKD,Settled
TRD_00252,2026-01-06,CUST_0313,CPTY_111,Fixed Income,110340.72,SGD,Settled
TRD_00253,2026-03-31,CUST_0312,CPTY_131,Commodity Options,1494662.95,SGD,Settled
TRD_00254,2026-05-06,CUST_0889,CPTY_125,Equity,1982343.46,GBP,Settled
TRD_00255,2026-06-24,CUST_0087,CPTY_110,Commodity Options,2411657.41,USD,Cancelled
TRD_00256,2026-03-19,CUST_0221,CPTY_118,FX Spot,849160.52,CAD,Settled
TRD_00257,2026-05-05,CUST_0111,CPTY_107,Crypto ETF,305810.42,EUR,Settled
TRD_00258,2026-04-25,CUST_0605,CPTY_102,Commodity Options,483234.56,HKD,Pending
TRD_00259,2026-04-03,CUST_0068,CPTY_102,Fixed Income,549339.37,SGD,Settled
TRD_00260,2026-05-07,CUST_0050,CPTY_113,Crypto ETF,1024507.85,HKD,Settled
TRD_00261,2026-03-28,CUST_0199,CPTY_110,Commodity Options,1244338.16,JPY,Settled
TRD_00262,2026-01-08,CUST_0911,CPTY_125,FX Spot,683504.65,USD,Cancelled
TRD_00263,2026-02-28,CUST_0600,CPTY_133,Fixed Income,2128442.81,HKD,Settled
TRD_00264,2026-04-02,CUST_0143,CPTY_115,FX Spot,719314.9,CAD,Pending
TRD_00265,2026-03-16,CUST_0173,CPTY_130,Equity,1605359.12,CAD,Pending
TRD_00266,2026-05-04,CUST_0352,CPTY_103,Equity,1935768.78,SGD,Settled
TRD_00267,2026-01-01,CUST_0359,CPTY_116,Commodity Options,833960.77,USD,Settled
TRD_00268,2026-01-26,CUST_0846,CPTY_140,Fixed Income,340530.32,HKD,Pending
TRD_00269,2026-01-05,CUST_0457,CPTY_116,Crypto ETF,2437389.56,JPY,Settled
TRD_00270,2026-03-26,CUST_0629,CPTY_114,Crypto ETF,1988223.06,HKD,Settled
TRD_00271,2026-02-07,CUST_0560,CPTY_139,Commodity Options,1557094.79,GBP,Cancelled
TRD_00272,2026-05-12,CUST_0770,CPTY_100,FX Spot,2221885.16,USD,Pending
TRD_00273,2026-04-09,CUST_0517,CPTY_147,FX Spot,694369.59,EUR,Settled
TRD_00274,2026-06-20,CUST_0137,CPTY_110,Equity,108472.32,USD,Pending
TRD_00275,2026-05-11,CUST_0639,CPTY_133,Crypto ETF,1409733.41,CAD,Settled
TRD_00276,2026-01-16,CUST_0273,CPTY_113,Commodity Options,1528638.91,SGD,Settled
TRD_00277,2026-03-20,CUST_0649,CPTY_120,Commodity Options,1010323.63,CAD,Pending
TRD_00278,2026-06-27,CUST_0209,CPTY_119,FX Spot,1657431.26,HKD,Pending
TRD_00279,2026-01-07,CUST_0699,CPTY_140,FX Spot,1121587.21,CAD,Settled
TRD_00280,2026-06-16,CUST_0650,CPTY_139,FX Spot,-150.0,CAD,Settled
TRD_00281,2026-01-24,CUST_0654,CPTY_104,Equity,1261549.29,HKD,Pending
TRD_00282,2026-06-24,CUST_0905,CPTY_123,Commodity Options,2306857.17,JPY,Pending
TRD_00283,2026-03-24,CUST_0664,CPTY_112,Equity,1318839.97,USD,Settled
TRD_00284,2026-03-01,CUST_0228,CPTY_108,Fixed Income,1275784.95,EUR,Pending
TRD_00285,2026-05-12,CUST_0642,CPTY_132,Fixed Income,1620918.98,GBP,Cancelled
TRD_00286,2026-04-13,CUST_0502,CPTY_150,Fixed Income,2316358.9,EUR,Settled
TRD_00287,2026-03-18,CUST_0445,CPTY_112,Fixed Income,1606725.96,EUR,Settled
